ID_REF,GSM317398,GSM317402,GSM317407,GSM317410,GSM317412,GSM317413,GSM317416,GSM317418,GSM317421,GSM317426,GSM317432,GSM317434,GSM317435,GSM317436,GSM317438,GSM317441,GSM317442,GSM317447,GSM317449,GSM317452,GSM317453,GSM317459,GSM317461,GSM317462,GSM317465,GSM317466,GSM317468,GSM317471,GSM317472,GSM317476,GSM317477,GSM317480,GSM317484,GSM317486,GSM317387,GSM317390,GSM317392,GSM317393,GSM317394,GSM317395,GSM317400,GSM317405,GSM317408,GSM317409,GSM317414,GSM317420,GSM317422,GSM317423,GSM317424,GSM317427,GSM317428,GSM317430,GSM317437,GSM317448,GSM317450,GSM317455,GSM317457,GSM317460,GSM317463,GSM317464,GSM317467,GSM317469,GSM317470,GSM317473,GSM317474,GSM317475,GSM317478,GSM317481,GSM317482,Calc
206925_at,0.19650656,0.12538226,0.17507418,0.23779194,0.0591716,0.19004524,0.18888889,0.23943663,0.34533897,0.24698794,0.5494792,0.6612903,0.47330096,0.27702704,0.3029316,0.37804878,0.21899225,0.3410405,0.36363637,0.093275495,0.24581008,0.37534246,0.15789473,0.2365145,0.12403101,0.044665013,0.055432376,0.19905211,0.22727272,0.38181818,0.13031915,0.104761906,0.5405405,0.13888888,0.29333335,0.115501516,0.11634349,0.16774194,0.058035713,0.36534446,0.13928573,0.36363634,0.010666668,0.083798885,0.065573774,0.056561086,0.025641026,0.05102041,0.01369863,0.09468822,0.15076336,0.24999999,0.06451613,0.2664835,0.19804402,0.07610994,0.06111111,0.06970509,0.5964913,0.08908046,0.2909408,0.042084165,0.07536232,0.13948919,0.04940375,0.04337349,0.1164557,0.07392996,0.072289154,8.790469263
208601_s_at,0.37991267,0.66360855,0.050445102,0.070063695,0.06903353,0.05882353,0.1793651,0.29577467,0.06355932,0.06626506,0.078125,0.22580643,0.44902912,0.045045044,0.5504886,0.12195122,0.050387595,0.31791908,0.16746412,0.5010846,0.027932962,0.30958906,0.057208236,0.30290455,0.05232558,0.3126551,0.32150778,0.24170615,0.024793388,0.5854545,0.058510642,0.6452381,0.5135135,0.5810185,0.034666665,0.17325227,0.01800554,0.043010753,0.071428575,0.035490606,0.13214287,0.21678321,0.35733333,0.05027933,0.035519127,0.036199097,0.06267807,0.057823133,0.07945206,0.15011548,0.1793893,0.059139784,0.16298813,0.06593406,0.080684595,0.061310787,0.044444446,0.04825737,0.07456141,0.09195402,0.040069688,0.042084165,0.089855075,0.17288801,0.056218058,0.5156626,0.35443038,0.06614786,0.034638554,8.752384504
211904_x_at,0.019650655,0.45565745,0.20474777,0.22929938,0.30177516,0.4841629,0.23650794,0.12206573,0.32627118,0.30421686,0.13541666,0.49462363,0.40048543,0.23648648,0.42996743,0.11585366,0.12403101,0.36127168,0.215311,0.2364425,0.66480446,0.16712329,0.08009153,0.022821575,0.27131784,0.30521092,0.2660754,0.07109004,0.2768595,0.38545454,0.3138298,0.2904762,0.47297296,0.6782407,0.25066665,0.06382978,0.2534626,0.17634408,0.03794643,0.10438413,0.021428574,0.13986014,0.368,0.39106148,0.027322406,0.06787331,0.03988604,0.24149661,0.24931508,0.24018477,0.026717557,0.07526881,0.24617997,0.038461536,0.2591687,0.38689217,0.019444445,0.018766755,0.07017544,0.31896552,0.20034844,0.3026052,0.14202899,0.03929273,0.06473594,0.29879516,0.11392406,0.027237352,0.16114457,8.562413673
220433_at,0.07641922,0.38226297,0.28635013,0.5010616,0.17159763,0.10859729,0.31269845,0.3685446,0.093220346,0.4638554,0.12239583,0.12903225,0.036407765,0.18018018,0.03583062,0.10365854,0.07364341,0.11271677,0.07177034,0.0867679,0.18994415,0.33150685,0.13272311,0.14315352,0.2383721,0.46650124,0.4013304,0.13507108,0.028925618,0.15272726,0.21808511,0.34285715,0.074324325,0.15277778,0.192,0.21276595,0.49030474,0.22365591,0.37723213,0.3862213,0.3482143,0.42307693,0.24266668,0.37709498,0.32513663,0.3529412,0.47008547,0.5850341,0.13972603,0.1709007,0.11832061,0.6182795,0.27164686,0.13461538,0.3007335,0.03382664,0.11944445,0.6809651,0.55701756,0.6149425,0.20905924,0.5290581,0.22608696,0.21414538,0.24361159,0.12048192,0.24810128,0.22568093,0.22289155,8.517923288
217380_s_at,0.23580788,0.04892966,0.5281899,0.07643312,0.4122288,0.59049773,0.34603176,0.37558687,0.48728815,0.0873494,0.09374999,0.44086018,0.14805825,0.033783782,0.43648207,0.6707317,0.058139533,0.40751448,0.13636364,0.29501086,0.10893855,0.6109589,0.052631576,0.051867217,0.34108528,0.34987596,0.46563196,0.20616113,0.016528925,0.43272725,0.5,0.3404762,0.24324323,0.4212963,0.5466667,0.38905773,0.40443215,0.49462366,0.29017857,0.36951986,0.2107143,0.7832168,0.70933336,0.301676,0.39890712,0.37556562,0.4615385,0.27891156,0.539726,0.2309469,0.3053435,0.3548387,0.237691,0.45329666,0.36674815,0.39534888,0.4,0.38605896,0.7017544,0.07183908,0.3205575,0.39478958,0.3362319,0.35756385,0.4770017,0.5686747,0.21518987,0.43579763,0.30421686,7.414498883
211794_at,0.19213976,0.10091743,0.7759644,0.11889597,0.24457593,0.6877828,0.12380953,0.13615024,0.29449153,0.12650602,0.484375,0.42473117,0.13106796,0.10585585,0.18241042,0.15853658,0.37403098,0.1531792,0.08373206,0.39696312,0.13687152,0.101369865,0.0778032,0.31535268,0.37015504,0.32754344,0.1396896,0.1563981,0.15702479,0.19272727,0.2712766,0.20238096,0.3716216,0.14583333,0.79733336,0.18844983,0.12465374,0.08817204,0.051339287,0.08977036,0.5517857,0.066433564,0.11466668,0.17318437,0.07923498,0.15158372,0.042735044,0.09183674,0.05479452,0.090069294,0.16603053,0.09677418,0.17147708,0.15934065,0.16381417,0.12262157,0.11388889,0.14209116,0.20614034,0.13793103,0.08885018,0.21643287,0.19130436,0.09430256,0.09028961,0.118072286,0.08101266,0.058365755,0.3207831,7.256728533
217536_x_at,0.09606988,0.28746176,0.17507418,0.2059448,0.07692308,0.3846154,0.06825397,0.058685448,0.17372881,0.012048192,0.26302084,0.14516129,0.097087376,0.15765765,0.23778503,0.34756097,0.20348836,0.19075145,0.11004785,0.06941432,0.17318437,0.36438358,0.194508,0.014522821,0.17829457,0.20099257,0.19512196,0.40521327,0.29338843,0.21818182,0.09574468,0.19761905,0.16216215,0.8055555,0.09866667,0.16413373,0.32963988,0.45376346,0.53348213,0.39874738,0.15357144,0.2062937,0.29066667,0.56983244,0.27322406,0.2963801,0.1823362,0.3537415,0.30958906,0.24249424,0.28053436,0.34677416,0.20203735,0.14560439,0.25183374,0.31501058,0.18888889,0.23056301,0.28070176,0.28448275,0.1585366,0.33266532,0.4405797,0.15324165,0.21635434,0.28915662,0.3164557,0.3696498,0.49548194,7.212911255
215814_at,0.04585153,0.27522933,0.14985164,0.19745225,0.09072978,0.1923077,0.45714286,0.049295776,0.059322033,0.15361445,0.21354166,0.86559135,0.19902912,0.45045045,0.22801304,0.25609756,0.251938,0.20520231,0.16267943,0.17787418,0.19832402,0.39452052,0.041189928,0.2551867,0.31589144,0.12655087,0.23059867,0.20616113,0.06198347,0.05818182,0.16489361,0.06904762,0.13513513,0.3726852,0.050666668,0.045592703,0.009695292,0.14408602,0.024553573,0.19415449,0.47678575,0.44405594,0.037333332,0.055865925,0.010928962,0.011312217,0.037037037,0.07142857,0.09589041,0.3117783,0.22137405,0.01344086,0.23429541,0.25274724,0.034229826,0.3509514,0.31666666,0.034852546,0.057017542,0.15804598,0.031358887,0.024048097,0.060869563,0.035363458,0.09369676,0.15180723,0.24050634,0.06225681,0.24849397,6.71415404
213680_at,0.16157207,0.079510696,0.615727,0.34394908,0.18145956,0.18552037,0.50317466,0.443662,0.19703391,0.7620481,0.6875,0.37096772,0.7281553,0.3873874,0.1791531,0.6707317,0.3352713,0.682081,0.06459331,0.46637744,0.5921788,0.7315069,0.48283753,0.88796675,0.49224806,0.33995038,0.25720623,0.18720378,0.057851236,0.21818182,0.4920213,0.3357143,0.121621616,0.7615741,0.4826667,0.57750756,0.5180056,0.38709676,0.37053573,0.3841336,0.8214286,0.37062937,0.6026667,0.8072626,0.521858,0.35520363,0.41310543,0.70408165,0.7205479,0.6859123,0.4980916,0.5268817,0.3599321,0.48901093,0.68215156,0.5327696,0.6,0.58176947,0.6973684,0.59195405,0.5313589,0.2985972,0.8028986,0.41650295,0.6201022,0.38313252,0.4,0.39688712,0.3207831,6.496567406
215663_at,0.09606988,0.25382262,0.21513352,0.3099788,0.28796846,0.08144797,0.21746033,0.2746479,0.3495763,0.24096385,0.4427083,0.14516129,0.097087376,0.10810811,0.36156353,0.9207317,0.14341085,0.2630058,0.2631579,0.35357916,0.2932961,0.06849315,0.0389016,0.4087137,0.09108527,0.14888337,0.028824834,0.20616113,0.03719008,0.021818181,0.13297872,0.37142858,0.49324325,0.21527778,0.061333332,0.012158054,0.07479225,0.2,0.25,0.029227557,0.34107146,0.15734266,0.050666668,0.41899443,0.010928962,0.3484163,0.025641026,0.3877551,0.021917809,0.036951505,0.03816794,0.037634406,0.22920203,0.0576923,0.056234717,0.35306558,0.28611112,0.04557641,0.27192983,0.04597701,0.071428575,0.18436873,0.023188407,0.029469548,0.14650767,0.014457831,0.278481,0.15175097,0.08283132,6.310245621
