216334_s_at,215516_at,AFFX-ThrX-5_at,208538_at,206488_s_at,201882_x_at,205699_at,218186_at,207656_s_at,220876_at,220766_at,216498_at,215943_at,215653_at,202608_s_at,216905_s_at,221380_at,209821_at,212769_at,213098_at,204014_at,214826_at,214441_at,209035_at,47105_at,209698_at,206102_at,220082_at,211966_at,217617_at,207571_x_at,215977_x_at,220323_at,206721_at,221581_s_at,213523_at,47530_at,212589_at,210127_at,209542_x_at,207172_s_at,219231_at,214785_at,208893_s_at,207180_s_at,219260_s_at,220335_x_at,214686_at,216375_s_at,221249_s_at,201354_s_at,202414_at,201363_s_at,208894_at,209688_s_at,202867_s_at,217981_s_at,205695_at,216457_s_at,219377_at,Group
0.055072464,0.017391305,0.055072464,0.04057971,0.36231884,0.057971016,0.5217391,0.5536232,0.62028986,0.055072464,0.42028987,0.1884058,0.19710146,0.44927537,0.09275363,0.31594202,0.089855075,0.17391305,0.43188405,1.168116,0.27246377,0.089855075,0.51594204,0.5565218,0.8898551,1.4927536,1.6927537,1.4434782,0.9652174,0.742029,0.8666667,0.8521739,0.81739134,1.826087,0.32173914,1.5913044,0.62318844,1.1913043,0.95942026,0.69855076,1.1246377,2.3217392,1.8057971,0.08405797,0.6144928,1.8202899,1.0318841,3.1275363,1.2376812,2.5913045,1.9188405,2.310145,2.1768117,0.4289855,2.2695653,1.0724638,2.4173913,0.73333335,2.110145,2.42029,bipolar
0.036199097,0.24660634,0.04751131,0.43438917,0.4321267,0.3529412,0.3529412,0.32126698,0.35067874,0.042986427,0.1719457,0.28959277,0.27149323,0.40950227,0.08371041,0.5972851,0.7126697,0.47058824,0.60181,0.9117647,0.80995476,0.22624435,0.15837105,1.0746607,0.9592761,0.46832582,0.85067874,1.7760181,0.7850679,1.2058823,0.51357466,0.9343892,0.5565611,1.4049773,0.71945703,1.7126696,0.69004524,1.3959277,1.1923077,0.28054297,1.5203619,1.0837104,1.6606336,0.19004524,1.1877829,0.87104076,1.7126696,2.5633485,2.10181,2.1176472,2.1085973,2.178733,1.7036201,0.65384614,1.540724,1.20362,1.321267,1.4411765,1.6877828,1.861991,bipolar
0.060465112,0.31627908,0.27906978,0.49302328,0.2837209,0.40930232,0.21860464,0.34418604,0.26976746,0.037209302,0.7348837,0.28837207,0.84651166,0.85116273,0.2,0.17674418,0.23255813,0.40465117,1.1860465,0.572093,0.18604651,0.5860465,0.5116279,0.87441856,0.63255817,0.67906976,0.6744186,1.172093,1.3302326,1.7488371,1.0232558,1.1209302,1.4465116,0.85116273,0.32093024,1.4558139,0.84651166,1.5395348,0.77674425,0.13953489,0.8976744,1.9069767,1.2511628,0.21860464,1.0418605,1.1999999,2.2,2.4232557,0.6232558,1.6651162,3.3581393,2.9534883,1.7255813,0.38139534,1.6232558,1.4976745,1.1999999,1.5906976,1.6511627,1.5395348,bipolar
0.057192374,0.19930676,0.110918544,0.0779896,0.055459272,0.28076258,0.26169845,0.16291161,0.28249565,0.064124785,0.26516464,0.3812825,0.06065858,0.41421145,0.14038129,0.083188914,0.3587522,0.74523395,0.42634317,0.26169845,0.05199307,0.48353553,0.42807627,0.61698437,1.1091855,1.422877,1.1369151,0.8960139,0.6551126,1.8093588,1.0970538,0.7036395,1.0294628,1.388215,0.15077989,0.897747,1.0051993,1.3743502,0.932409,0.13171577,0.9705373,1.3292894,2.2062392,0.17331022,1.0138649,0.7677643,1.9740036,3.081456,1.1802427,2.3639514,2.3760834,3.7833624,1.4939342,0.71923745,2.1785095,1.7105719,1.5337955,1.6204506,1.1819757,0.87001735,bipolar
0.097165994,0.12550607,0.08097166,0.026315788,0.12348178,0.08502024,0.3016194,0.2834008,0.07692307,0.030364372,0.08097166,0.02834008,0.24898785,0.3502024,0.09919028,0.3704453,0.07489879,0.3562753,0.22874494,0.6295546,0.55263156,0.354251,0.34008095,0.68218625,0.6497975,0.7408906,0.7044534,0.8117408,0.7004048,1.3461539,1.5323886,0.83198375,0.7672065,1.1194332,0.38259107,1.2773279,0.8643725,1.3279352,0.8663967,0.44129553,1.0242914,0.95141697,2.1032388,0.8279352,2.1619434,1.3157895,1.5769231,1.9574897,1.7570851,1.4939271,2.2044535,2.291498,3.0728745,0.9068826,2.5445342,1.9493927,2.0647774,0.9089069,2.8218622,3.1497977,bipolar
0.016997168,0.22096318,0.22096318,0.045325782,0.045325782,0.29461756,0.22096318,0.19546743,0.388102,0.016997168,0.033994336,0.022662891,0.3286119,0.34560907,0.3371105,0.048158642,0.096317284,0.34844193,0.2634561,0.41076487,0.033994336,0.2776204,0.48725215,0.5807366,0.5807366,0.8498584,1.121813,0.8498584,0.88951844,0.9348442,0.9858357,0.74787533,0.9121813,1.3201133,0.7138811,0.9575071,1.0566572,1.1529746,1.4957507,0.7422097,0.694051,1.082153,2,0.42776206,1.470255,1.1926346,1.9490086,2.9093485,1.5949008,1.7847025,1.4844193,2.4532578,2.189802,0.8045326,2.03966,1.6685553,2.0056658,2.3172805,2.7563741,1.858357,bipolar
0.056603774,0.32830188,0.354717,0.41132075,0.064150944,0.12830189,0.018867925,0.079245284,0.39245284,0.056603774,0.53962266,0.12830189,0.29811323,0.23396227,0.086792454,0.46792454,0.4301887,0.3735849,0.44150943,0.24528302,0.026415095,1.0226415,0.13207547,1.1584907,0.46037737,1.5660378,0.8113208,0.9358491,0.8566038,0.9056604,1.1509434,0.72075474,0.5924528,1.1245283,0.19622642,1.5132076,1,1.1773585,1.1924529,0.09056604,0.9056604,1.3698113,0.76981133,0.39245284,1.7358491,0.554717,2.0075471,2.1471698,0.7622642,2.4867926,3.0867927,1.637736,1.4113208,0.12075472,1.909434,1.883019,2.064151,1.4415095,2.3471699,3.3132076,bipolar
0.02547771,0.006369427,0.16985139,0.08280256,0.023354568,0.13375798,0.38641194,0.32908708,0.23566881,0.07643312,0.28874737,0.38641194,0.4246285,0.2208068,0.32696393,0.05095542,0.3609342,0.28237796,0.3842888,0.60721874,0.1804671,0.35244164,0.37154993,0.40976647,0.60934186,1.774947,1.1974523,0.29936308,0.53927815,0.8811041,1.2484077,0.66454357,0.7707007,1.3779194,0.4161359,1.477707,0.92356694,1.5180469,0.6921444,0.42038217,0.65817416,1.4734609,2.025478,0.34394908,1.6454353,1.7983016,1.8386413,1.997877,1.549894,2.2611465,2.2462847,3.1613588,2.4479833,0.5414013,2.1295118,1.3439491,2.2208068,1.626327,2.1422508,1.9469215,bipolar
0.04639175,0.28350514,0.45360824,0.077319585,0.05670103,0.48453605,0.19587629,0.6082474,0.20618556,0.20103092,0.2989691,0.7886598,0.072164945,0.48453605,0.19072165,0.4175258,0.5412371,1.1649485,0.23195876,0.35051546,0.8350516,0.8505154,0.12886597,0.7010309,0.6185567,1.1082474,0.78350514,1.1030928,1.1082474,1.6701032,0.2216495,0.9226804,1.1185567,1.314433,0.23195876,1.1494845,0.82474226,0.9072165,0.077319585,0.7525773,0.29381442,1.4329896,1.3092784,0.087628864,0.5463918,1.6340207,2.3402061,1.5412371,2.1597939,2.329897,3.185567,3.1134021,2.1907215,0.9536082,2.072165,1.2061856,1.4381443,4.0360827,1.6907216,2.7216494,bipolar
0.030567687,0.4410481,0.29257643,0.1048035,0.23580788,0.12227075,0.57641923,0.30131006,0.19650656,0.061135374,0.2838428,0.53275114,0.7248909,0.2445415,0.13537118,0.68122274,0.16157207,0.5633188,0.8558953,0.15720524,0.069869004,1.3406115,1.069869,0.90393025,0.9868996,0.35807863,1.3056769,1.4672489,1.2663757,1.0524018,1.1921397,2,2.231441,0.97379917,0.5895197,1.4410481,1.1091703,1.069869,0.61572057,0.11790394,0.35807863,1.3231442,1.2358079,0.07860262,1.4410481,0.51091707,3.358079,1.7161573,1.6375546,1.5458517,2.0349345,2.144105,0.8864629,1.5065503,1.0349346,1.1310045,1.3406115,1.5545852,0.8515284,1.279476,bipolar
