ID_REF,215219_at,208245_at,210506_at,220418_at,220622_at,214565_s_at,214244_s_at,207899_at,216373_at,217166_at,206925_at,208601_s_at,211904_x_at,220433_at,217380_s_at,211794_at,217536_x_at,215814_at,213680_at,215663_at,214379_at,202489_s_at,204047_s_at,218454_at,207757_at,219699_at,209788_s_at,203676_at,209156_s_at,204863_s_at,218411_s_at,214283_at,203168_at,216652_s_at,221967_at,201219_at,222217_s_at,52741_at,221715_at,220641_at,219731_at,218075_at,219869_s_at,204557_s_at,210210_at,219530_at,219324_at,221966_at,204391_x_at,209015_s_at,204880_at,211799_x_at,204846_at,206989_s_at,209959_at,222273_at,212238_at,202688_at,209523_at,201866_s_at,202479_s_at,217863_at,205726_at,213900_at,203874_s_at,217961_at,203851_at,209735_at,Group
GSM317453,0.18715084,0.10055866,0.31843576,0.17039107,0.039106146,0.32122907,0.2960894,0.11452515,0.12290504,0.31005588,0.24581008,0.027932962,0.66480446,0.18994415,0.10893855,0.13687152,0.17318437,0.19832402,0.5921788,0.2932961,0.78770953,0.11173185,0.5837989,0.19273745,0.07821229,0.081005596,0.56703913,0.86312854,0.86592185,0.67877096,0.5167598,1.3743018,0.8072626,1.0083799,0.9748604,0.4664805,1.5586593,1.5111732,0.19832402,0.31843576,1.8798884,1.6675979,1.5139666,1.611732,1.0698324,0.7932961,1.4106146,0.5167598,1.2513967,0.77653635,1.1229051,1.3631285,0.10055866,1.9189944,0.77653635,1.5810056,1.6843576,1.9441341,2.1899443,2.8324025,2.5586593,1.7262571,1.4106146,0.70391065,2.1173186,2.3212292,2.7486036,6.307263,control
GSM317459,0.076712325,0.25753424,0.043835618,0.12054795,0.02739726,0.0849315,0.27123287,0.073972605,0.07123287,0.3068493,0.37534246,0.30958906,0.16712329,0.33150685,0.6109589,0.101369865,0.36438358,0.39452052,0.7315069,0.06849315,0.5287671,0.049315065,0.8383562,0.91780823,0.31780824,0.83013695,1.060274,1.1726027,1.6876712,1.690411,0.7863014,1.3232876,1.1835617,1.3342466,0.5890411,1.0356164,0.29041097,1.5178082,0.36438358,0.8219178,1.0465753,1.2328767,1.5452055,1.2794521,1.969863,1.2383562,1.6958904,0.4109589,1.1150686,3.7506847,1.4712329,1.6273973,1.3369863,3.0739725,2.2219179,1.1972603,2.5589042,0.96986306,2.6,2.5589042,2.3123288,1.090411,1.3753425,2.9835618,2.2109587,1.6794521,1.830137,3.7342467,control
GSM317461,0.011441647,0.009153318,0.04576659,0.36155605,0.26773453,0.06864988,0.03432494,0.11441647,0.03661327,0.26086953,0.15789473,0.057208236,0.08009153,0.13272311,0.052631576,0.0778032,0.194508,0.041189928,0.48283753,0.0389016,0.201373,0.086956516,0.7391304,0.51716244,0.38215104,0.48741415,0.43935928,0.9496567,0.5652174,0.8260869,0.7528604,1.7185353,1.2494278,0.5743707,1.1029748,1.0022882,1.1762013,0.8512586,0.68192214,0.36842105,1.1693363,0.9748283,1.0778031,1.9199084,0.7002288,1.5652174,1.4874141,1.4141876,1.361556,1.0137299,1.5789473,1.6979403,0.07322654,1.7070937,1.0526315,2.347826,2.0686498,1.501144,2.1967962,2.8169334,2.7345536,2.340961,2.340961,1.8100685,2.9679632,2.5812356,2.0389016,3.5263157,control
GSM317462,0.07676348,0.10580912,0.04356846,0.03319502,0.099585064,0.29668048,0.06639004,0.1078838,0.14315352,0.19917013,0.2365145,0.30290455,0.022821575,0.14315352,0.051867217,0.31535268,0.014522821,0.2551867,0.88796675,0.4087137,0.44605806,0.056016594,0.5311203,0.22821575,0.3838174,1.0746887,0.1825726,0.64730287,0.6867219,0.5456431,0.66182566,0.5248962,0.75311196,0.946058,0.66597503,1.1348547,0.93153524,1.3278008,0.16182572,0.67634845,1.1887966,0.7033195,1.2448132,1.6307052,1.1265559,1.5726141,1.4917012,1.2759335,1.8506222,0.8049792,1.2406638,1.3609958,0.23029046,1.9585061,1.6286306,1.5912862,1.8941908,0.9419087,2.9688797,2.7468877,1.8983401,1.9232364,1.8319502,1.0456431,2.244813,2.2489626,2.3941908,4.9149375,control
GSM317465,0.019379845,0.013565891,0.04069767,0.116279066,0.031007752,0.26550388,0.12015504,0.08139534,0.1744186,0.2112403,0.12403101,0.05232558,0.27131784,0.2383721,0.34108528,0.37015504,0.17829457,0.31589144,0.49224806,0.09108527,0.5271318,0.10852713,0.6317829,0.5251938,0.7131783,0.3527132,0.32364342,0.5736434,0.53100777,0.8992248,0.65891474,1.5387597,0.75581396,1.2945737,1.0310078,1.1182171,0.9011628,1.1337209,0.7054264,0.8352713,1.2926356,1.507752,0.625969,1.7480619,0.9709302,1.242248,1.618217,1.5813953,1.8003876,0.7616279,1.2131783,0.89728683,1.1724806,2.0174417,0.7151163,2.4554262,1.7596899,0.37790698,2.389535,2.2170544,1.874031,2.625969,2.0697675,2.4418604,2.6957366,1.8837209,1.864341,2.102713,control
GSM317466,0.019851116,0.079404466,0.074441686,0.042183623,0.05955335,0.13895781,0.05707196,0.079404466,0.21091811,0.13151366,0.044665013,0.3126551,0.30521092,0.46650124,0.34987596,0.32754344,0.20099257,0.12655087,0.33995038,0.14888337,0.5235732,0.079404466,0.67493796,1.0148884,0.3870968,0.6253102,0.7444169,0.6674938,1.3275435,0.6327543,0.4764268,0.83870965,1.0148884,1.1315136,1.1811414,1.0248139,1,1.0272954,0.91067,0.7468983,1.3176179,1.7171215,0.9751861,1.5086849,0.8039703,1.223325,1.6997519,1.9379653,1.471464,0.8263027,0.97270477,2.126551,0.121588096,1.8684864,0.9454094,1.8957816,1.8858562,2.223325,1.7717122,2.0372207,1.6426798,1.8163772,2.027295,1.9379653,2.7146404,1.8436725,2.573201,3.0942929,control
GSM317468,0.015521065,0.09977828,0.028824834,0.015521065,0.09534369,0.05764967,0.13747229,0.06430156,0.082039915,0.29268295,0.055432376,0.32150778,0.2660754,0.4013304,0.46563196,0.1396896,0.19512196,0.23059867,0.25720623,0.028824834,0.368071,0.055432376,0.64966744,0.54545456,0.42572066,0.4079823,0.49445677,0.51219517,0.34589803,0.8980045,0.46563196,1.044346,0.8780488,0.86031044,1.044346,0.95343685,0.89578724,1.1175168,0.5166297,0.3192905,1.3614192,2.0709536,1.1308205,1.3104213,1.1906874,1.2017739,2.2527716,2.1019957,1.1441242,0.9933482,1.3658537,1.6230599,0.34811532,1.7317073,1.8625278,1.2638582,1.9866964,2.2017741,2.7184036,2.4988914,2.1773837,1.3547672,1.7450111,1.6097561,2.4390244,2.0975611,2.2217295,4.758315,control
GSM317471,0.03791469,0.06398104,0.03554502,0.023696681,0.014218009,0.033175353,0.18246444,0.056872036,0.11374407,0.25592417,0.19905211,0.24170615,0.07109004,0.13507108,0.20616113,0.1563981,0.40521327,0.20616113,0.18720378,0.20616113,0.4905213,0.18483412,0.39099523,0.33649287,0.5094786,0.6113744,0.21800947,0.8909952,0.6611374,0.3554502,0.94549763,0.66587675,1.2535545,1.4265403,0.74170613,1.0260663,0.91469187,1.5758293,0.116113745,0.3862559,1.1800947,1.2819904,1.0734596,1.5023696,0.6445497,1.2345971,1.6090047,1.663507,1.6658767,1.2156397,1.6090047,1.4478672,0.13981043,2.0521326,1.8151658,1.8933649,1.9075829,1.2559241,1.985782,2.4526064,2.7251184,2.4952607,2.4028435,1.6729857,2.156398,2.2180092,2.1303318,4.6161137,control
GSM317472,0.016528925,0.14049587,0.03719008,0.041322313,0.024793388,0.07438016,0.03305785,0.049586777,0.028925618,0.09504132,0.22727272,0.024793388,0.2768595,0.028925618,0.016528925,0.15702479,0.29338843,0.06198347,0.057851236,0.03719008,0.55785125,0.1735537,0.59090906,0.38429752,0.60743797,0.30578512,0.3305785,0.62809914,0.76033056,0.11570247,0.5165289,0.98760325,1.3305786,1.4710743,0.6694215,0.8719008,1.0454545,1.2314049,0.4628099,0.80991733,1.7892561,1.838843,0.6859504,0.77685946,1.2024794,1.2396694,1.5867769,3.2479339,1.177686,1.0454545,1.7644628,1.5619835,0.057851236,0.80165285,1.4132231,0.9421487,2.0826447,1.2438016,1.8884298,2.6157024,2.677686,1.177686,2.4421487,1.9338843,2.0950413,2.268595,2.6033058,4.268595,control
GSM317476,0.021818181,0.014545455,0.05818182,0.087272726,0.10545455,0.3272727,0.03272727,0.0690909,0.38181818,0.05818182,0.38181818,0.5854545,0.38545454,0.15272726,0.43272725,0.19272727,0.21818182,0.05818182,0.21818182,0.021818181,0.48,0.17454545,0.45454544,0.09454545,0.3490909,0.13090909,0.11636364,0.84,0.79272723,0.05818182,0.91999996,1.36,0.9090909,1.2145455,1.0727272,1.3090909,1.4145454,1.5854545,0.17454545,0.76363635,1.4727272,1.4399999,1.9272727,1.5236363,0.71636367,1.3018181,1.9745454,2.1636362,2.1490908,1.92,1.9636363,2.6545453,0.3090909,2.0945454,0.17818181,2.3999999,1.8036362,5.690909,2.821818,1.4690909,1.1454545,1.7345455,2.0836363,3.050909,2.421818,2.0690908,2.1636362,8.752727,control
