ID_REF,201354_s_at,201363_s_at,201882_x_at,202414_at,202608_s_at,202867_s_at,204014_at,204493_at,205404_at,205695_at,205699_at,205984_at,206102_at,206488_s_at,206721_at,207172_s_at,207180_s_at,207571_x_at,207656_s_at,208538_at,208893_s_at,208894_at,209035_at,209542_x_at,209688_s_at,209698_at,209821_at,210127_at,210639_s_at,211582_x_at,211966_at,212589_at,212769_at,213098_at,213523_at,214441_at,214686_at,214785_at,214826_at,215516_at,215653_at,215943_at,215977_x_at,216334_s_at,216375_s_at,216457_s_at,216498_at,216905_s_at,217617_at,217981_s_at,218186_at,219231_at,219260_s_at,219377_at,220082_at,220323_at,220335_x_at,220691_at,220766_at,220876_at,221249_s_at,221380_at,221581_s_at,221780_s_at,47105_at,47530_at,AFFX-ThrX-5_at,Group
GSM317440,1.5298012,1.678808,0.5033112,1.9701986,0.29801324,2.2350993,0.64238405,0.75496686,2.642384,1.2748344,0.205298,1.3245033,0.7615894,0.07284768,1.4139073,0.6192053,1.0033112,0.8543046,0.052980132,0.026490066,0.90066224,1.9569535,0.6192053,0.39735097,1.7483443,0.78807944,0.37417218,1.0298012,1.4470198,0.08940397,0.75496686,1.0463576,0.28145695,0.81125826,1.3509933,0.15562913,2.0596025,1.2715232,0.13907284,0.2615894,0.26821193,0.31456953,0.5397351,0.01986755,1.7880794,1.7218542,0.10927152,0.49337745,0.8245033,2.281457,0.27814567,1.0860927,1.7715231,1.9470198,1.4337747,1.0430464,1.6390728,0.78145695,0.31456953,0.026490066,1.8973509,0.08609271,0.9569536,0.67549664,0.8907284,1.0695363,0.13576159,bipolar
GSM317443,3.5962963,1.3518518,0.33703706,3.2962964,0.15555555,1.9962964,0.5777778,0.6555556,2.4851851,1.3481482,0.24814814,0.7814815,0.9481482,0.14074074,1.488889,0.22962962,1.1629629,0.9888889,0.074074075,0.29259259,0.7777778,1.1666666,1.6703703,0.27407408,2.0259259,0.8444444,0.2962963,0.937037,0.7037037,0.14814815,0.8148148,1.5962963,0.37777779,0.37777779,1.3074074,0.15555555,2.5592592,1.7481482,0.8185185,0.21851853,0.24444444,0.15925927,0.4,0.022222223,1.2777778,1.2222222,0.23703705,0.4666667,1.6148148,1.337037,0.08148149,1.1333333,0.8333333,2.0037036,1.1555556,1.2259259,2.0148149,0.6074074,0.15925927,0.11481481,2.0222223,0.6666667,0.3814815,1.8703704,0.6740741,1.0407407,0.044444446,bipolar
GSM317444,2.1244445,1.4511112,0.37333333,2.728889,0.12444445,1.5622224,0.21555556,1.1177778,1.108889,1.2755556,0.14222223,0.8577778,1.0177778,0.097777784,1.4866667,1.2377778,1.8088889,1.1844444,0.060000002,0.05111111,0.6666667,1.0200001,1.14,0.5822223,1.9666667,1.08,0.4,1.34,1.7333333,0.06666667,0.46000004,1.3244444,0.3466667,0.68222225,1.1222223,0.12444445,2.1311111,1.5422223,0.42,0.10666668,0.3688889,0.32666668,0.7666667,0.042222224,2.1933334,1.9555556,0.21555556,0.26222223,0.31777778,2.02,0.29111114,1.3777778,1.0111111,2.7822223,1.3533334,0.9533334,1.0511111,0.6244445,0.6622222,0.042222224,2.06,0.46666667,0.7911111,0.6844444,0.6266667,0.6622222,0.08888889,bipolar
GSM317445,2.215938,2.1799486,0.071979426,2.5758352,0.08226221,1.5655526,0.09511568,1.6812339,2.8251927,1.1645243,0.5758354,1.2133676,0.61439586,0.31362465,1.3419023,0.8354755,1.2879176,1.0514139,0.09511568,0.113110535,0.18251927,1.6169665,0.48843184,0.089974284,2.1516707,0.5938303,0.28277633,1.4884318,1.8997428,0.11568123,0.92544985,0.6426735,0.52956295,0.41645244,1.0771208,0.5912596,2.125964,1.3059125,1.1850898,0.07969151,0.4241645,0.37532133,0.8123393,0.035989713,1.6143957,1.7069408,0.28534704,0.34961438,0.6735218,2.082262,0.51156807,1.4473007,1.763496,2.1131103,1.3007711,1.3110539,1.7660667,0.73521847,0.19280204,0.05398457,2.0514138,0.056555267,0.3470437,0.69922876,0.6041131,1.0642673,0.19794343,bipolar
GSM317446,1.9211087,2.3283582,0.08955224,2.5522387,0.26652452,2.0362473,1.0852879,1.4115138,1.6162047,1.2196162,0.25799575,1.2729211,0.9339019,0.10660981,0.90191895,0.793177,1.4754797,1.0895522,0.3944563,0.053304903,1.6673774,0.91684437,0.36460555,0.9936034,1.7185501,0.80383795,0.15351813,1.0277185,1.5565032,0.19402985,0.52238804,1.0511727,0.16204691,0.52665246,1.3944563,0.60554373,2.9594884,1.859275,0.55650324,0.09168444,0.21748401,0.15138593,0.5159915,0.008528785,2.5671642,3.326226,0.042643923,0.08955224,1.3176972,2.0788913,0.13219616,1.1876333,1.4733475,2.82516,0.8550106,0.72281456,1.7270789,1.0127932,0.03411514,0.031982943,1.8422176,0.09808102,0.6012793,1.3752666,0.7953091,1.1364605,0.03411514,bipolar
GSM317451,1.3743018,2.4189944,0.37430167,2.7597768,0.54748607,1.5586593,0.06145252,1.1731844,1.9106147,1.0446929,0.41899443,1.1061453,0.64245814,0.027932962,1.3743018,0.5139665,0.76536316,0.97206706,0.106145255,0.027932962,0.18435755,0.25139666,0.2178771,0.13407822,2.2569835,1.5418996,0.41340786,1.1899441,1.8994415,0.19553074,0.7709498,1.4078213,0.2290503,0.71508384,0.98882693,0.98882693,1.452514,1.4916202,0.2960894,0.20111732,0.150838,0.083798885,1.055866,0.20111732,1.5865922,2.0055869,0.027932962,0.9162012,1.0335196,2.2569835,0.35195532,1.2793297,1.3519554,1.5977654,0.64804476,0.83798885,1.5530727,0.5363129,0.5921788,0.06145252,2.290503,0.106145255,0.18435755,1.027933,0.70391065,0.726257,0.04469274,bipolar
GSM317454,2.2122905,1.9357544,0.1480447,3.5279331,0.10055866,2.1424582,0.033519555,0.9608939,1.9385476,2.0111732,0.4441341,0.6536313,0.8882682,0.11731844,1.3491621,0.55307263,1.8351955,1.0167599,0.12569833,0.03072626,0.06983241,0.42178774,1.5111732,0.3687151,1.4469274,1.5083799,0.5,1.3296089,0.9692738,0.17318437,0.5055866,1.3826816,0.40223464,0.7011174,0.8184358,0.6871509,2.1256983,1.1564246,0.28491622,0.09776537,0.31284916,0.35754192,0.5139665,0.011173185,1.4776537,2.3910615,0.05027933,0.15921788,1.6703911,1.5251397,0.31284916,1.206704,1.659218,2.726257,0.9748604,0.54469275,1.877095,0.7206704,0.4581006,0.025139665,1.7178771,0.16759777,0.61731845,1.0977654,0.9162012,1.865922,0.039106146,bipolar
GSM317456,2.43573,2.3376906,0.1503268,2.4553375,0.26797387,1.875817,1.1546841,1.1154684,1.2897604,1.1808279,0.1590414,1.5882354,0.72549015,0.010893246,1.1895424,1.2222222,1.9346405,1.0108932,0.119825706,0.22222222,2.372549,0.708061,0.5163399,0.6056645,1.9215685,0.62091506,0.40958604,0.5185185,1.6688453,0.18518518,0.6165577,1.4836601,0.3093682,0.4880174,1.0718955,0.6296296,2.5163398,0.993464,0.57516336,0.019607842,0.19825709,0.30718955,0.6383442,0.019607842,3.3703704,2.1960785,0.061002176,0.16557734,0.90631807,2.0479302,0.18736385,0.90631807,2.2875817,3.0544662,1.1808279,0.7276689,1.2461873,1.5468409,0.16993465,0.35729846,1.7973856,0.05664488,0.7320261,1.4771242,0.62309366,1.3594772,0.032679737,bipolar
GSM317458,2.3571427,1.8796991,0.07142857,2.9398494,0.10150376,1.6428571,0.056390975,1.1090225,1.5902255,2.142857,0.59774435,0.49999997,1.1992481,0.12030075,1.1428571,1.2255638,1.7067668,0.09398496,0.09022556,0.086466156,0.09398496,1.1503758,0.5451127,0.06390978,2.0037594,1.1541353,0.481203,0.73308265,0.7706767,0.16165413,1.1578946,1.6842104,0.33834586,0.47744358,1.3120301,0.78947365,2.3759398,2.3195488,0.5488722,0.34962404,0.46992478,0.13157894,0.97368413,0.15413533,1.3646616,2.086466,0.04511278,0.27067667,0.83834577,2.218045,0.16917293,2.1240602,0.8458646,1.3270676,0.924812,0.9586466,2.7706764,1.4586465,0.06390978,0.052631576,3.0451126,0.2406015,0.15789472,0.8421052,0.7180451,1.0338346,0.13909774,bipolar
GSM317479,2.156,1.188,0.28,2.456,0.08399999,2.156,0.072,0.664,2.316,1.436,0.372,1.7839999,0.684,0.22,0.57199997,0.98800004,1.828,1.7919999,0.12399999,0.136,0.864,1.104,0.77199996,0.308,2.4199998,1.2759999,0.408,1.024,1.64,0.308,0.664,1.0919999,0.32799998,1.16,1.54,0.96,2.8799999,0.67199993,0.31599998,0.04,0.212,0.188,0.50799996,0.055999998,2.1239998,2.816,0.048,0.39599997,0.7,2.04,0.592,1.0719999,2.448,3.024,1.132,0.204,1.436,1.308,0.18399999,0.036,2.096,0.19999999,0.74,1.236,1.5799999,1.048,0.252,bipolar
